iter	Passed	Remaining
697	9497	17715
698	9509	17699
699	9520	17680
700	9531	17663
701	9544	17647
702	9555	17630
703	9568	17613
704	9579	17596
705	9591	17579
706	9603	17563
707	9617	17550
708	9629	17534
709	9641	17517
710	9652	17499
711	9664	17483
712	9676	17466
713	9688	17449
714	9700	17433
715	9712	17417
716	9724	17401
717	9737	17385
718	9749	17369
719	9760	17352
720	9773	17336
721	9785	17321
722	9797	17305
723	9809	17289
724	9822	17273
725	9835	17258
726	9846	17242
727	9858	17225
728	9870	17209
729	9883	17194
730	9895	17178
731	9907	17161
732	9920	17147
733	9932	17131
734	9945	17116
735	9989	17155
736	10001	17139
737	10013	17123
738	10024	17106
739	10037	17090
740	10050	17076
741	10062	17060
742	10075	17045
743	10087	17028
744	10098	17012
745	10111	16996
746	10123	16980
747	10135	16965
748	10147	16948
749	10159	16932
750	10172	16917
751	10184	16902
752	10197	16887
753	10210	16872
754	10223	16858
755	10236	16843
756	10249	16829
757	10262	16814
758	10274	16799
759	10287	16784
760	10299	16769
761	10312	16753
762	10324	16738
763	10336	16722
764	10349	16708
765	10361	16692
766	10373	16676
767	10386	16660
768	10398	16645
769	10410	16629
770	10423	16614
771	10435	16599
772	10448	16584
773	10460	16569
774	10472	16553
775	10485	16539
776	10498	16523
777	10509	16507
778	10521	16491
779	10533	16475
780	10545	16459
781	10557	16444
782	10569	16428
783	10581	16412
784	10594	16397
785	10607	16383
786	10619	16368
787	10632	16353
788	10644	16337
789	10656	16322
790	10668	16306
791	10685	16298
792	10697	16282
793	10710	16267
794	10722	16252
795	10735	16238
796	10748	16223
797	10760	16208
798	10773	16193
799	10785	16178
800	10797	16162
801	10809	16146
802	10822	16132
803	10835	16118
804	10847	16102
805	10859	16086
806	10873	16074
807	10885	16059
808	10897	16043
809	10910	16028
810	10921	16011
811	10933	15996
812	10945	15980
813	10957	15965
814	10969	15950
815	10982	15935
816	10994	15919
817	11005	15903
818	11017	15887
819	11029	15871
820	11041	15856
821	11053	15840
822	11065	15825
823	11077	15810
824	11089	15794
825	11102	15780
826	11114	15764
827	11126	15749
828	11138	15733
829	11149	15716
830	11161	15701
831	11173	15685
832	11185	15670
833	11197	15655
834	11209	15639
835	11222	15624
836	11234	15609
837	11247	15596
838	11260	15582
839	11273	15568
840	11285	15553
841	11298	15538
842	11310	15523
843	11325	15512
844	11339	15499
845	11354	15487
846	11367	15474
847	11381	15461
848	11394	15447
849	11405	15431
850	11418	15417
851	11431	15402
852	11443	15388
853	11456	15373
854	11470	15360
855	11482	15346
856	11495	15331
857	11508	15317
858	11520	15302
859	11533	15288
860	11545	15273
861	11557	15258
862	11571	15244
863	11584	15231
864	11596	15216
865	11609	15202
866	11622	15188
867	11634	15173
868	11647	15159
869	11660	15144
870	11672	15130
871	11685	15115
872	11697	15101
873	11709	15086
874	11722	15071
875	11734	15056
876	11745	15040
877	11759	15027
878	11771	15012
879	11782	14996
880	11795	14981
881	11807	14966
882	11818	14951
883	11831	14936
884	11843	14920
885	11854	14905
886	11866	14890
887	11878	14874
888	11891	14860
889	11903	14845
890	11915	14830
891	11928	14817
892	11941	14802
893	11954	14789
894	11967	14775
895	11979	14760
896	11992	14746
897	12004	14731
898	12017	14717
899	12030	14704
900	12043	14690
901	12056	14675
902	12068	14661
903	12080	14646
904	12093	14632
905	12106	14619
906	12119	14604
907	12132	14590
908	12144	14575
909	12156	14560
910	12168	14546
911	12181	14532
912	12194	14518
913	12207	14504
914	12220	14490
915	12233	14476
916	12245	14461
917	12258	14447
918	12271	14434
919	12283	14420
920	12296	14406
921	12309	14392
922	12322	14377
923	12334	14363
924	12348	14350
925	12361	14336
926	12373	14322
927	12386	14308
928	12399	14294
929	12412	14280
930	12423	14265
931	12435	14250
932	12448	14236
933	12460	14221
934	12471	14205
935	12483	14190
936	12497	14177
937	12509	14162
938	12521	14148
939	12533	14133
940	12545	14118
941	12557	14103
942	12568	14088
943	12580	14073
944	12592	14058
945	12604	14043
946	12616	14029
947	12629	14015
948	12642	14001
949	12655	13987
950	12668	13973
951	12682	13961
952	12695	13948
953	12709	13935
954	12722	13921
955	12734	13907
956	12747	13893
957	12760	13879
958	12773	13865
959	12786	13851
960	12798	13837
961	12811	13823
962	12824	13809
963	12836	13795
964	12849	13781
965	12863	13768
966	12876	13755
967	12888	13740
968	12900	13726
969	12913	13711
970	12926	13698
971	12938	13684
972	12951	13670
973	12963	13656
974	12976	13641
975	12988	13627
976	13001	13613
977	13014	13600
978	13027	13586
979	13040	13572
980	13053	13558
981	13065	13544
982	13077	13530
983	13090	13516
984	13103	13502
985	13127	13500
986	13140	13486
987	13152	13472
988	13165	13458
989	13177	13443
990	13189	13429
991	13203	13416
992	13216	13402
993	13229	13388
994	13241	13374
995	13253	13360
996	13265	13345
997	13278	13331
998	13291	13317
999	13303	13303
1000	13316	13289
1001	13328	13275
1002	13340	13261
1003	13352	13246
1004	13365	13232
1005	13377	13217
1006	13389	13203
1007	13401	13188
1008	13413	13174
1009	13426	13160
1010	13438	13146
1011	13452	13133
1012	13465	13119
1013	13478	13106
1014	13491	13092
1015	13503	13078
1016	13515	13064
1017	13528	13050
1018	13540	13035
1019	13552	13021
1020	13565	13007
1021	13578	12994
1022	13591	12980
1023	13603	12966
1024	13617	12953
1025	13629	12938
1026	13642	12925
1027	13655	12912
1028	13669	12898
1029	13681	12884
1030	13694	12871
1031	13708	12858
1032	13721	12845
1033	13733	12830
1034	13745	12816
1035	13758	12802
1036	13770	12787
1037	13782	12772
1038	13793	12757
1039	13805	12743
1040	13817	12729
1041	13830	12715
1042	13842	12700
1043	13854	12686
1044	13866	12672
1045	13878	12657
1046	13890	12643
1047	13902	12628
1048	13914	12614
1049	13926	12600
1050	13938	12585
1051	13951	12571
1052	13962	12557
1053	13974	12542
1054	13986	12527
1055	13997	12513
1056	14010	12499
1057	14022	12484
1058	14033	12470
1059	14045	12455
1060	14056	12440
1061	14068	12425
1062	14080	12411
1063	14092	12397
1064	14105	12383
1065	14118	12370
1066	14130	12355
1067	14141	12341
1068	14153	12326
1069	14165	12312
1070	14177	12297
1071	14189	12283
