threshold,f1,f2
0.5226130653266332,0.2366412213740458,0.4122340425531915
0.5276381909547738,0.2366412213740458,0.4122340425531915
0.5326633165829145,0.2366412213740458,0.4122340425531915
0.5376884422110553,0.23709369024856597,0.41278295605858856
0.542713567839196,0.23846153846153847,0.4144385026737968
0.5477386934673367,0.23892100192678228,0.4149933065595716
0.5527638190954774,0.23938223938223938,0.4155495978552279
0.5577889447236181,0.23938223938223938,0.4155495978552279
0.5628140703517588,0.23938223938223938,0.4155495978552279
0.5678391959798995,0.23984526112185686,0.4161073825503356
0.5728643216080402,0.24031007751937986,0.4166666666666667
0.577889447236181,0.24266144814090018,0.41948579161028415
0.5829145728643216,0.24361493123772102,0.4206241519674355
0.5879396984924623,0.2440944881889764,0.421195652173913
0.592964824120603,0.2440944881889764,0.421195652173913
